Entidad,Antigüedad,Seguro,TIN Aplicado,24m,36m,48m,60m,72m,84m,96-120m
ABANCA,Hasta 95 meses,Si,0.0699,-,-,-,0.095,0.095,0.105,0.105
ABANCA,Hasta 95 meses,Si,0.0799,-,-,-,0.12,0.13,0.14,0.14
ABANCA,Hasta 95 meses,Si,0.0899,-,-,-,0.15,0.15,0.17,0.17
ABANCA,Hasta 95 meses,Si,0.0999,-,-,-,0.175,0.19,0.205,0.205
ABANCA,Hasta 95 meses,Si,0.1099,-,-,-,0.2,0.2,0.215,0.215
ABANCA,Hasta 95 meses,No,0.0699,-,-,-,0.065,0.065,0.075,0.075
ABANCA,Hasta 95 meses,No,0.0799,-,-,-,0.09,0.1,0.11,0.11
ABANCA,Hasta 95 meses,No,0.0899,-,-,-,0.12,0.12,0.14,0.14
ABANCA,Hasta 95 meses,No,0.0999,-,-,-,0.145,0.16,0.175,0.175
ABANCA,Hasta 95 meses,No,0.1099,-,-,-,0.175,0.17,0.185,0.185
ABANCA,Desde 96 meses,Si,0.0699,0.0425,0.0425,0.085,0.095,0.095,0.105,0.105
ABANCA,Desde 96 meses,Si,0.0799,0.0475,0.0475,0.105,0.12,0.13,0.14,0.14
ABANCA,Desde 96 meses,Si,0.0899,0.0525,0.0525,0.13,0.15,0.15,0.17,0.17
ABANCA,Desde 96 meses,Si,0.0999,0.06,0.06,0.15,0.175,0.19,0.205,0.205
ABANCA,Desde 96 meses,Si,0.1099,0.065,0.065,0.17,0.2,0.2,0.215,0.215
ABANCA,Desde 96 meses,Si,0.1199,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,No,0.0699,0.0125,0.0125,0.055,0.065,0.065,0.075,0.075
ABANCA,Desde 96 meses,No,0.0799,0.0175,0.0175,0.075,0.09,0.1,0.11,0.11
ABANCA,Desde 96 meses,No,0.0899,0.0225,0.0225,0.1,0.12,0.12,0.14,0.14
ABANCA,Desde 96 meses,No,0.0999,0.03,0.03,0.12,0.145,0.16,0.175,0.175
ABANCA,Desde 96 meses,No,0.1099,0.035,0.035,0.14,0.17,0.17,0.185,0.185
ABANCA,Desde 96 meses,No,0.1199,-,-,-,-,-,-,-
BBVA,Hasta 84 meses,Si,0.0725,0.0625,0.0825,0.1125,0.1225,0.145,0.15,0.15
BBVA,Hasta 84 meses,Si,0.0825,0.0725,0.0825,0.1325,0.145,0.175,0.18,0.18
BBVA,Hasta 84 meses,Si,0.0925,0.0825,0.1075,0.1375,0.165,0.2,0.215,0.225
BBVA,Hasta 84 meses,Si,0.1025,0.0925,0.121,0.1735,0.201,0.2385,0.25,0.27
BBVA,Hasta 84 meses,Si,0.1125,0.035,0.121,0.16,0.205,0.245,0.265,0.275
BBVA,Hasta 84 meses,No,0.0725,0.0275,0.0475,0.0775,0.0875,0.11,0.115,0.115
BBVA,Hasta 84 meses,No,0.0825,0.0375,0.0475,0.0975,0.11,0.14,0.145,0.145
BBVA,Hasta 84 meses,No,0.0925,0.0475,0.0725,0.1025,0.13,0.165,0.18,0.19
BBVA,Hasta 84 meses,No,0.1025,0.0575,0.086,0.1385,0.166,0.2035,0.21,0.23
BBVA,Hasta 84 meses,No,0.1125,-,0.086,0.125,0.17,0.21,0.225,0.235
BBVA,Desde 84 meses,Si,0.0725,-,-,-,-,-,-,-
BBVA,Desde 84 meses,Si,0.0825,0.0625,0.0825,0.0875,0.085,0.105,0.12,0.12
BBVA,Desde 84 meses,Si,0.0925,0.0725,0.0825,0.1075,0.125,0.145,0.16,0.16
BBVA,Desde 84 meses,Si,0.1025,0.0825,0.1075,0.1375,0.165,0.18,0.205,0.205
BBVA,Desde 84 meses,Si,0.1125,-,-,0.1475,0.19,0.21,0.235,0.25
BBVA,Desde 84 meses,Si,0.1175,-,-,-,-,0.215,0.25,0.26
BBVA,Desde 84 meses,No,0.0725,-,-,-,-,-,-,-
BBVA,Desde 84 meses,No,0.0825,0.0275,0.0475,0.0525,0.05,0.07,0.08,0.08
BBVA,Desde 84 meses,No,0.0925,0.0375,0.0475,0.0725,0.09,0.11,0.125,0.125
BBVA,Desde 84 meses,No,0.1025,0.0475,0.0725,0.1025,0.13,0.145,0.165,0.165
BBVA,Desde 84 meses,No,0.1125,-,-,0.1125,0.155,0.175,0.195,0.21
BBVA,Desde 84 meses,No,0.1175,-,-,-,-,0.18,0.21,0.22
CAIXA,Hasta 95 meses,Si,0.0699,-,-,-,0.12,0.13,0.13,0.13
CAIXA,Hasta 95 meses,Si,0.0799,-,-,-,0.16,0.175,0.175,0.175
CAIXA,Hasta 95 meses,Si,0.0899,-,-,-,0.2,0.21,0.21,0.21
CAIXA,Hasta 95 meses,Si,0.0999,-,-,-,0.24,0.2625,0.2625,0.27
CAIXA,Hasta 95 meses,Si,0.1099,-,-,-,0.255,0.265,0.265,0.2725
CAIXA,Hasta 95 meses,No,0.0699,-,-,-,0.09,0.1,0.1,0.1
CAIXA,Hasta 95 meses,No,0.0799,-,-,-,0.13,0.145,0.145,0.145
CAIXA,Hasta 95 meses,No,0.0899,-,-,-,0.17,0.18,0.18,0.18
CAIXA,Hasta 95 meses,No,0.0999,-,-,-,0.21,0.2325,0.2325,0.24
CAIXA,Hasta 95 meses,No,0.1099,-,-,-,0.225,0.235,0.235,0.2425
COFIDIS,Hasta 84 meses,Si,0.0699,0.085,0.085,0.1,0.14,0.14,0.14,0.14
COFIDIS,Hasta 84 meses,Si,0.0799,0.09,0.11,0.15,0.16,0.17,0.17,0.17
COFIDIS,Hasta 84 meses,Si,0.0899,0.095,0.115,0.16,0.19,0.2,0.2,0.2
COFIDIS,Hasta 84 meses,Si,0.0999,0.11,0.13,0.18,0.21,0.23,0.23,0.23
COFIDIS,Hasta 84 meses,Si,0.1099,0.12,0.14,0.19,0.22,0.24,0.24,0.24
COFIDIS,Hasta 84 meses,No,0.0699,0.065,0.065,0.08,0.065,0.065,0.065,0.065
COFIDIS,Hasta 84 meses,No,0.0799,0.07,0.09,0.1,0.105,0.105,0.105,0.105
COFIDIS,Hasta 84 meses,No,0.0899,0.06,0.0925,0.08,0.11,0.11,0.11,0.11
COFIDIS,Hasta 84 meses,No,0.0999,0.07,0.095,0.14,0.15,0.16,0.16,0.16
COFIDIS,Hasta 84 meses,No,0.1099,0.08,0.0975,0.16,0.175,0.18,0.18,0.18
COFIDIS,Desde 84 meses,Si,0.0699,-,-,-,-,-,-,-
COFIDIS,Desde 84 meses,Si,0.0799,0.0675,0.0775,0.0875,0.0925,0.0875,0.0775,0.0575
COFIDIS,Desde 84 meses,Si,0.0899,0.0775,0.0875,0.0975,0.1375,0.1075,0.0875,0.0675
COFIDIS,Desde 84 meses,Si,0.0999,0.1275,0.1375,0.1475,0.1875,0.1575,0.1275,0.1075
COFIDIS,Desde 84 meses,Si,0.1099,0.1375,0.1475,0.1575,0.1975,0.1675,0.1375,0.1175
COFIDIS,Desde 84 meses,Si,0.1199,-,0.1575,0.1675,0.2075,0.1775,0.1475,0.1275
COFIDIS,Desde 84 meses,No,0.0699,-,-,-,-,-,-,-
COFIDIS,Desde 84 meses,No,0.0799,0.0475,0.0575,0.0675,0.0725,0.0675,0.0575,0.0375
COFIDIS,Desde 84 meses,No,0.0899,0.0575,0.0675,0.0775,0.1125,0.0825,0.0675,0.0475
